rent,rentsqm,area,rooms,yearc,bathextra,bathtile,cheating,district,location,upkitchen,wwater
741.39,10.9,68,2,1918,no,yes,yes,Lud-Isar,good,no,yes
715.82,11.01,65,2,1995,no,yes,yes,Lud-Isar,good,no,yes
528.25,8.38,63,3,1918,no,yes,yes,Lud-Isar,good,no,yes
553.99,8.52,65,3,1983,yes,yes,yes,Ram-Per,normal,no,yes
698.21,6.98,100,4,1995,yes,yes,yes,Ram-Per,good,yes,yes
935.65,11.55,81,4,1980,no,yes,yes,Ram-Per,normal,no,yes
204.85,3.72,55,2,1924,yes,yes,yes,Send,normal,no,yes
426.93,5.4,79,3,1924,no,yes,yes,Send,normal,no,yes
446.33,8.58,52,1,1957,no,yes,yes,Send,normal,no,yes
381.45,4.95,77,3,1948,no,yes,yes,Send,normal,no,yes
337.26,9.64,35,1,1957,no,yes,yes,Send,normal,no,yes
756.73,11.13,68,2,1985,no,yes,yes,Send,good,no,yes
945.9,10.28,92,3,1918,no,yes,yes,Schwab-Frei,good,no,yes
264.93,11.52,23,1,1957.5,no,yes,yes,SchwWest,good,no,yes
540.58,6.84,79,2,1918,no,yes,yes,Schwab-Frei,good,no,yes
757.74,9.24,82,4,1966,no,no,yes,Moos,normal,no,yes
538.7,7.48,72,3,1972,no,yes,yes,Moos,normal,no,yes
796.07,4.47,178,6,1918,no,yes,no,Alt-Le,good,no,no
461.19,9.41,49,2,2001,no,no,yes,Maxvor,good,no,yes
752.27,8.65,87,3,1966,yes,no,yes,SchwWest,normal,no,yes
446.55,10.38,43,2,1972,no,yes,yes,SchwWest,normal,no,yes
548.17,8.99,61,2,1957,no,no,yes,SchwWest,normal,no,yes
421.03,7.02,60,3,1966,no,no,yes,SchwWest,normal,no,yes
759.57,8.53,89,4,1960,no,no,yes,SchwWest,normal,no,yes
390,4.24,92,3,1918,no,yes,no,SchwWest,good,no,no
436.89,6.72,65,2,1918,no,yes,yes,SchwWest,good,no,yes
174.76,3.07,57,3,1957,no,no,yes,BamLaim,normal,no,yes
354.91,9.34,38,1,1967,no,no,yes,BamLaim,normal,yes,yes
491.62,9.83,50,2,1985,no,yes,yes,BamLaim,normal,no,yes
695.36,11.04,63,2,1992,yes,yes,yes,Maxvor,good,no,yes
540.22,7.2,75,3,1966,no,yes,yes,Au-Haid,normal,no,yes
325.12,6.13,53,2,1976,no,yes,yes,Obgies,normal,no,yes
598.88,6.81,88,4,1966,no,no,yes,Pas-Obmenz,good,no,yes
466.38,6.86,68,3,1971,no,yes,yes,Au-Lo-La,normal,no,yes
374.13,6.93,54,2,1960,no,yes,yes,Send-West,normal,no,yes
488.3,6.34,77,3,1972,no,yes,yes,Send-West,normal,no,yes
662.55,8.39,79,3,1957.5,no,yes,yes,Maxvor,good,no,yes
357.05,9.92,36,2,1960,no,yes,no,Maxvor,good,no,yes
1061.81,11.3,94,3,1993,yes,yes,yes,Trud-Rie,good,no,yes
546.1,8.03,68,3,1918,no,yes,yes,Neuh-Nymp,good,no,yes
360.48,5.81,62,3,1918,no,yes,no,Neuh-Nymp,good,no,no
422.43,4.18,101,4,1918,no,yes,no,Neuh-Nymp,good,no,yes
433.25,6.37,68,3,1966,no,no,yes,Bogenh,normal,no,yes
521.53,10.87,48,2,1987,no,yes,yes,Lud-Isar,good,no,yes
264.99,8.55,31,1,1973,no,yes,yes,Mil-AmH,normal,no,yes
480.1,7.39,65,3,1971,no,yes,yes,Mil-AmH,normal,no,yes
383.72,10.66,36,1,1972,no,yes,yes,SchwWest,good,no,yes
636.13,11.78,54,2,1999,no,yes,yes,Moos,normal,yes,yes
415.91,7.56,55,2,1986,no,yes,yes,Moos,normal,no,yes
1355.28,11.99,113,4,2001,no,yes,yes,All-Umenz,normal,no,yes
575.9,5.24,110,4,1966,yes,yes,yes,All-Umenz,normal,no,yes
935.9,12.48,75,3,1971,no,yes,yes,Schwab-Frei,good,no,yes
