rent,rentsqm,area,rooms,yearc,bathextra,bathtile,cheating,district,location,upkitchen,wwater,district_full
741.390014648438,10.8999996185303,68,2,1918,0,1,1,Lud-Isar,good,0,1,Ludwigsvorstadt-Isarvorstadt
715.820007324219,11.0100002288818,65,2,1995,0,1,1,Lud-Isar,good,0,1,Ludwigsvorstadt-Isarvorstadt
528.25,8.38000011444092,63,3,1918,0,1,1,Lud-Isar,good,0,1,Ludwigsvorstadt-Isarvorstadt
553.989990234375,8.52000045776367,65,3,1983,1,1,1,Ram-Per,normal,0,1,Ramersdorf-Perlach
698.210021972656,6.98000001907349,100,4,1995,1,1,1,Ram-Per,good,1,1,Ramersdorf-Perlach
935.650024414063,11.5500001907349,81,4,1980,0,1,1,Ram-Per,normal,0,1,Ramersdorf-Perlach
204.850006103516,3.72000002861023,55,2,1924,1,1,1,Send,normal,0,1,Sendling
426.929992675781,5.40000009536743,79,3,1924,0,1,1,Send,normal,0,1,Sendling
446.329986572266,8.57999992370605,52,1,1957,0,1,1,Send,normal,0,1,Sendling
381.450012207031,4.94999980926514,77,3,1948,0,1,1,Send,normal,0,1,Sendling
337.260009765625,9.64000034332275,35,1,1957,0,1,1,Send,normal,0,1,Sendling
756.72998046875,11.1300001144409,68,2,1985,0,1,1,Send,good,0,1,Sendling
945.900024414063,10.2799997329712,92,3,1918,0,1,1,Schwab-Frei,good,0,1,Schwabing-Freimann
264.929992675781,11.5200004577637,23,1,1957,0,1,1,SchwWest,good,0,1,Schwabing-West
540.580017089844,6.84000015258789,79,2,1918,0,1,1,Schwab-Frei,good,0,1,Schwabing-Freimann
757.739990234375,9.23999977111816,82,4,1966,0,0,1,Moos,normal,0,1,Moosach
538.700012207031,7.48000001907349,72,3,1972,0,1,1,Moos,normal,0,1,Moosach
796.070007324219,4.46999979019165,128,6,1918,0,1,0,Alt-Le,good,0,0,Altstadt-Lehel
461.190002441406,9.40999984741211,49,2,2001,0,0,1,Maxvor,good,0,1,Maxvorstadt
752.27001953125,8.64999961853027,87,3,1966,1,0,1,SchwWest,normal,0,1,Schwabing-West
446.549987792969,10.3800001144409,43,2,1972,0,1,1,SchwWest,normal,0,1,Schwabing-West
548.169982910156,8.98999977111816,61,2,1957,0,0,1,SchwWest,normal,0,1,Schwabing-West
421.029998779297,7.01999998092651,60,3,1966,0,0,1,SchwWest,normal,0,1,Schwabing-West
759.570007324219,8.52999973297119,89,4,1960,0,0,1,SchwWest,normal,0,1,Schwabing-West
390,4.23999977111816,92,3,1918,0,1,0,SchwWest,good,0,0,Schwabing-West
436.890014648438,6.71999979019165,65,2,1918,0,1,1,SchwWest,good,0,1,Schwabing-West
174.759994506836,3.0699999332428,57,3,1957,0,0,1,BamLaim,normal,0,1,Berg am Laim
354.910003662109,9.34000015258789,38,1,1967,0,0,1,BamLaim,normal,1,1,Berg am Laim
491.619995117188,9.82999992370605,50,2,1985,0,1,1,BamLaim,normal,0,1,Berg am Laim
695.359985351563,11.039999961853,63,2,1992,1,1,1,Maxvor,good,0,1,Maxvorstadt
540.219970703125,7.19999980926514,75,3,1966,0,1,1,Au-Haid,normal,0,1,Au-Haidhausen
325.119995117188,6.13000011444092,53,2,1976,0,1,1,Obgies,normal,0,1,Obergiesing
598.880004882813,6.80999994277954,88,4,1966,0,0,1,Pas-Obmenz,good,0,1,Pasing-Obermenzing
466.380004882813,6.8600001335144,68,3,1971,0,1,1,Au-Lo-La,normal,0,1,Aubing-Lochhausen-Langwied
374.130004882813,6.92999982833862,54,2,1960,0,1,1,Send-West,normal,0,1,Sendling-Westpark
488.299987792969,6.34000015258789,77,3,1972,0,1,1,Send-West,normal,0,1,Sendling-Westpark
662.549987792969,8.39000034332275,79,3,1957,0,1,1,Maxvor,good,0,1,Maxvorstadt
357.049987792969,9.92000007629395,36,2,1960,0,1,0,Maxvor,good,0,1,Maxvorstadt
1061.81005859375,11.3000001907349,94,3,1993,1,1,1,Trud-Rie,good,0,1,Trud-Rie
546.099975585938,8.02999973297119,68,3,1918,0,1,1,Neuh-Nymp,good,0,1,Neuhausen-Nymphenburg
360.480010986328,5.80999994277954,62,3,1918,0,1,0,Neuh-Nymp,good,0,0,Neuhausen-Nymphenburg
422.429992675781,4.17999982833862,101,4,1918,0,1,0,Neuh-Nymp,good,0,1,Neuhausen-Nymphenburg
433.25,6.36999988555908,68,3,1966,0,0,1,Bogenh,normal,0,1,Bogenhausen
521.530029296875,10.8699998855591,48,2,1987,0,1,1,Lud-Isar,good,0,1,Ludwigsvorstadt-Isarvorstadt
264.989990234375,8.55000019073486,31,1,1973,0,1,1,Mil-AmH,normal,0,1,Milbertshofen-Am Hart
480.100006103516,7.3899998664856,65,3,1971,0,1,1,Mil-AmH,normal,0,1,Milbertshofen-Am Hart
383.720001220703,10.6599998474121,36,1,1972,0,1,1,SchwWest,good,0,1,Schwabing-West
636.130004882813,11.7799997329712,54,2,1999,0,1,1,Moos,normal,1,1,Moosach
415.910003662109,7.55999994277954,55,2,1986,0,1,1,Moos,normal,0,1,Moosach
1166.2749328613286,11.9899997711182,113,4,2001,0,1,1,All-Umenz,normal,0,1,Allach-Untermenzing
575.900024414063,5.23999977111816,110,4,1966,1,1,1,All-Umenz,normal,0,1,Allach-Untermenzing
935.900024414063,12.4799995422363,75,3,1971,0,1,1,Schwab-Frei,good,0,1,Schwabing-Freimann
624.799987792969,8.32999992370605,75,2,1985,0,1,1,Schwab-Frei,good,0,1,Schwabing-Freimann
606.909973144531,9.0600004196167,67,3,1968,0,0,1,Th-Ob-Fo-Fu-So,normal,1,1,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln
347.679992675781,8.90999984741211,39,1,1970,0,1,1,Th-Ob-Fo-Fu-So,normal,0,1,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln
373.980010986328,10.3900003433228,36,1,1966,0,0,1,Send-West,normal,0,1,Sendling-Westpark
1063.5,10.4300003051758,102,4,1924,0,1,1,Schwab-Frei,good,0,1,Schwabing-Freimann
894.780029296875,10.1700000762939,88,3,1960,0,1,1,Schwab-Frei,normal,0,1,Schwabing-Freimann
1077.22998046875,7.32999992370605,128,4,1918,1,1,1,Schwab-Frei,good,0,1,Schwabing-Freimann
