rent,rentsqm,area,rooms,yearc,bathextra,bathtile,cheating,district,location,upkitchen,wwater
741.390014648438,10.8999996185303,68,2,1918,0,1,1,Lud-Isar,good,0,1
715.820007324219,11.0100002288818,65,2,1995,0,1,1,Lud-Isar,good,0,1
528.25,8.38000011444092,63,3,1918,0,1,1,Lud-Isar,good,0,1
553.989990234375,8.52000045776367,65,3,1983,1,1,1,Ram-Per,normal,0,1
698.210021972656,6.98000001907349,100,4,1995,1,1,1,Ram-Per,good,1,1
935.650024414063,11.5500001907349,81,4,1980,0,1,1,Ram-Per,normal,0,1
204.850006103516,3.72000002861023,55,2,1924,1,1,1,Send,normal,0,1
426.929992675781,5.40000009536743,79,3,1924,0,1,1,Send,normal,0,1
446.329986572266,8.57999992370605,52,1,1957,0,1,1,Send,normal,0,1
381.450012207031,4.94999980926514,77,3,1948,0,1,1,Send,normal,0,1
337.260009765625,9.64000034332275,35,1,1957,0,1,1,Send,normal,0,1
756.72998046875,11.1300001144409,68,2,1985,0,1,1,Send,good,0,1
945.900024414063,10.2799997329712,92,3,1918,0,1,1,Schwab-Frei,good,0,1
264.929992675781,11.5200004577637,23,1,1957,0,1,1,SchwWest,good,0,1
540.580017089844,6.84000015258789,79,2,1918,0,1,1,Schwab-Frei,good,0,1
757.739990234375,9.23999977111816,82,4,1966,0,0,1,Moos,normal,0,1
538.700012207031,7.48000001907349,72,3,1972,0,1,1,Moos,normal,0,1
796.070007324219,4.46999979019165,178,6,1918,0,1,0,Alt-Le,good,0,0
461.190002441406,9.40999984741211,49,2,2001,0,0,1,Maxvor,good,0,1
752.27001953125,8.64999961853027,87,3,1966,1,0,1,SchwWest,normal,0,1
446.549987792969,10.3800001144409,43,2,1972,0,1,1,SchwWest,normal,0,1
548.169982910156,8.98999977111816,61,2,1957,0,0,1,SchwWest,normal,0,1
421.029998779297,7.01999998092651,60,3,1966,0,0,1,SchwWest,normal,0,1
759.570007324219,8.52999973297119,89,4,1960,0,0,1,SchwWest,normal,0,1
390,4.23999977111816,92,3,1918,0,1,0,SchwWest,good,0,0
436.890014648438,6.71999979019165,65,2,1918,0,1,1,SchwWest,good,0,1
174.759994506836,3.0699999332428,57,3,1957,0,0,1,BamLaim,normal,0,1
354.910003662109,9.34000015258789,38,1,1967,0,0,1,BamLaim,normal,1,1
491.619995117188,9.82999992370605,50,2,1985,0,1,1,BamLaim,normal,0,1
695.359985351563,11.039999961853,63,2,1992,1,1,1,Maxvor,good,0,1
540.219970703125,7.19999980926514,75,3,1966,0,1,1,Au-Haid,normal,0,1
325.119995117188,6.13000011444092,53,2,1976,0,1,1,Obgies,normal,0,1
598.880004882813,6.80999994277954,88,4,1966,0,0,1,Pas-Obmenz,good,0,1
466.380004882813,6.8600001335144,68,3,1971,0,1,1,Au-Lo-La,normal,0,1
374.130004882813,6.92999982833862,54,2,1960,0,1,1,Send-West,normal,0,1
488.299987792969,6.34000015258789,77,3,1972,0,1,1,Send-West,normal,0,1
662.549987792969,8.39000034332275,79,3,1957,0,1,1,Maxvor,good,0,1
357.049987792969,9.92000007629395,36,2,1960,0,1,0,Maxvor,good,0,1
1061.81005859375,11.3000001907349,94,3,1993,1,1,1,Trud-Rie,good,0,1
546.099975585938,8.02999973297119,68,3,1918,0,1,1,Neuh-Nymp,good,0,1
360.480010986328,5.80999994277954,62,3,1918,0,1,0,Neuh-Nymp,good,0,0
422.429992675781,4.17999982833862,101,4,1918,0,1,0,Neuh-Nymp,good,0,1
433.25,6.36999988555908,68,3,1966,0,0,1,Bogenh,normal,0,1
521.530029296875,10.8699998855591,48,2,1987,0,1,1,Lud-Isar,good,0,1
264.989990234375,8.55000019073486,31,1,1973,0,1,1,Mil-AmH,normal,0,1
480.100006103516,7.3899998664856,65,3,1971,0,1,1,Mil-AmH,normal,0,1
383.720001220703,10.6599998474121,36,1,1972,0,1,1,SchwWest,good,0,1
636.130004882813,11.7799997329712,54,2,1999,0,1,1,Moos,normal,1,1
415.910003662109,7.55999994277954,55,2,1986,0,1,1,Moos,normal,0,1
1355.28002929688,11.9899997711182,113,4,2001,0,1,1,All-Umenz,normal,0,1
575.900024414063,5.23999977111816,110,4,1966,1,1,1,All-Umenz,normal,0,1
935.900024414063,12.4799995422363,75,3,1971,0,1,1,Schwab-Frei,good,0,1
624.799987792969,8.32999992370605,75,2,1985,0,1,1,Schwab-Frei,good,0,1
606.909973144531,9.0600004196167,67,3,1968,0,0,1,Th-Ob-Fo-Fu-So,normal,1,1
347.679992675781,8.90999984741211,39,1,1970,0,1,1,Th-Ob-Fo-Fu-So,normal,0,1
373.980010986328,10.3900003433228,36,1,1966,0,0,1,Send-West,normal,0,1
1063.5,10.4300003051758,102,4,1924,0,1,1,Schwab-Frei,good,0,1
894.780029296875,10.1700000762939,88,3,1960,0,1,1,Schwab-Frei,normal,0,1
1077.22998046875,7.32999992370605,147,4,1918,1,1,1,Schwab-Frei,good,0,1
331.670013427734,5.09999990463257,65,3,1966,0,1,1,Th-Ob-Fo-Fu-So,normal,0,1
849.239990234375,9.98999977111816,85,3,1969,0,1,1,Th-Ob-Fo-Fu-So,normal,0,1
1012.85998535156,8.72999954223633,116,6,2001,1,1,1,Feld-Has,normal,0,1
664.690002441406,9.10999965667725,73,3,1924,0,1,1,All-Umenz,normal,1,1
1022.59997558594,11.3599996566772,90,3,1989,0,1,1,Th-Ob-Fo-Fu-So,top,0,1
640.320007324219,7.90999984741211,81,3,1972,0,0,1,Th-Ob-Fo-Fu-So,good,0,1
649.349975585938,11.8100004196167,55,2,1983,0,1,1,Th-Ob-Fo-Fu-So,top,0,1
699.460021972656,9.19999980926514,76,3,1918,0,0,1,Au-Haid,normal,0,1
479.459991455078,8.5600004196167,56,2,1957,0,0,0,Au-Haid,good,0,1
400.339996337891,9.3100004196167,43,1,1984,0,1,1,Obgies,normal,0,1
1151.63000488281,10.9700002670288,105,3,1918,1,1,1,Au-Haid,good,0,1
593.400024414063,8.98999977111816,66,3,1966,0,1,1,Obgies,normal,0,1
817.25,8.60000038146973,95,3,1918,0,1,1,Au-Haid,normal,0,1
584.380004882813,9.57999992370605,61,2,1960,0,1,1,SchwWest,normal,0,1
505.619995117188,8.86999988555908,57,3,1966,0,0,1,Send,normal,0,1
621.599975585938,8.39999961853027,74,3,1984,0,1,1,Schwab-Frei,normal,0,1
706.609985351563,7.3600001335144,96,3,1971,1,1,1,Trud-Rie,good,0,1
691.919982910156,7.76999998092651,89,3,1972,1,1,1,Bogenh,good,0,1
566.210021972656,8.98999977111816,63,2,1979,0,1,1,Trud-Rie,good,0,1
269.839996337891,4.34999990463257,62,2,1918,0,1,0,Lud-Isar,normal,0,0
526.700012207031,4.01999998092651,131,5,1924,0,1,1,Lud-Isar,normal,0,1
710.690002441406,10.4499998092651,68,2,2000,1,1,1,Lud-Isar,normal,0,1
689.489990234375,8.21000003814697,84,3,1983,0,1,1,Lud-Isar,normal,0,1
511.299987792969,10.2299995422363,50,2,1968,0,1,1,Lud-Isar,normal,0,1
418.299987792969,5.73000001907349,73,4,1960,0,1,1,BamLaim,normal,0,1
415.320007324219,6.3899998664856,65,3,1966,0,1,1,BamLaim,normal,0,1
445.329986572266,7.80999994277954,57,2,1918,0,1,1,BamLaim,normal,0,1
359.730010986328,4.13000011444092,87,3,1924,0,1,1,Moos,normal,0,1
890,10.2299995422363,87,3,1984,0,1,1,Neuh-Nymp,good,0,1
483.429992675781,8.94999980926514,54,2,1992,0,1,1,Neuh-Nymp,good,0,1
656.510009765625,11.1300001144409,59,2,1992,0,1,1,Neuh-Nymp,good,0,1
695,7.6399998664856,91,3,1966,0,1,1,Schwab-Frei,normal,0,1
106.220001220703,3.3199999332428,32,1,1957,0,1,1,Mil-AmH,normal,0,1
132.240005493164,3.5699999332428,37,2,1948,0,1,0,Mil-AmH,normal,0,0
456.440002441406,4.90999984741211,93,4,1977,0,1,1,Mil-AmH,normal,0,1
489,6.19000005722046,79,3,1948,0,1,1,Bogenh,normal,0,1
825.47998046875,8.01000022888184,103,4,1982,1,1,1,Ugies-Har,normal,0,1
831.280029296875,9.03999996185303,92,3,1966,0,1,1,Ram-Per,normal,1,1
715.820007324219,10.2299995422363,70,3,1960,0,1,1,Ugies-Har,normal,0,1
637.380004882813,8.39000034332275,76,3,1989,0,1,1,Bogenh,normal,0,1
813.780029296875,11.3000001907349,72,3,1992,0,1,1,Bogenh,normal,0,1
339.5,3.76999998092651,90,3,1973,1,1,1,Bogenh,good,1,1
598.22998046875,8.3100004196167,72,3,1957,0,1,1,Laim,normal,0,1
361.970001220703,5.48000001907349,66,2,1924,0,1,1,Laim,normal,0,1
693.570007324219,8.67000007629395,80,3,1966,0,1,1,Laim,normal,0,1
549.97998046875,7.6399998664856,72,3,1973,0,1,1,Laim,normal,0,1
621.789978027344,9.56999969482422,65,2,1998,0,1,1,Feld-Has,normal,1,1
352.850006103516,4.96999979019165,71,3,1993,0,1,1,Feld-Has,normal,0,1
969.359985351563,8.89000034332275,109,4,1983,1,1,1,Pas-Obmenz,good,0,1
298.950012207031,5.44000005722046,55,2,1997,0,1,1,Pas-Obmenz,normal,0,1
456.940002441406,7.61999988555908,60,2,1997,1,1,1,Pas-Obmenz,normal,0,1
292.279998779297,8.35000038146973,35,2,1966,0,1,1,Pas-Obmenz,normal,0,1
649.820007324219,6.36999988555908,102,4,1974,1,1,1,Bogenh,normal,0,1
363.910003662109,11.3699998855591,32,1,1918,0,1,1,Au-Haid,good,0,1
1749.15002441406,14.2200002670288,123,4,1918,0,1,1,Bogenh,top,0,1
679.010009765625,8.27999973297119,82,3,1972,0,1,1,Bogenh,normal,0,1
643.640014648438,9.06999969482422,71,3,1972,0,1,1,Bogenh,normal,0,1
727.960021972656,9.10000038146973,80,3,1918,0,1,1,Au-Haid,normal,0,1
963.840026855469,9.01000022888184,107,4,1966,0,1,1,Bogenh,top,0,1
338.339996337891,5.21000003814697,65,3,1960,0,1,1,Th-Ob-Fo-Fu-So,normal,0,1
718.070007324219,10.2600002288818,70,2,1983,0,1,1,Th-Ob-Fo-Fu-So,normal,0,1
892.130004882813,9.39000034332275,95,3,1918,1,1,1,Lud-Isar,normal,0,1
1217.15002441406,9.65999984741211,126,4,1918,0,1,0,Lud-Isar,normal,0,1
338.149993896484,8.05000019073486,42,2,1960,0,1,1,Lud-Isar,normal,0,1
466.429992675781,9.32999992370605,50,2,1968,0,1,1,Maxvor,normal,0,1
570.099975585938,7.21999979019165,79,4,1966,0,1,1,Had,normal,0,1
673.469970703125,9.22999954223633,73,4,1960,0,1,1,Trud-Rie,good,0,1
562.580017089844,10.2299995422363,55,2,1974,0,1,1,Neuh-Nymp,top,0,1
639.130004882813,3.84999990463257,166,6,1918,1,1,1,Neuh-Nymp,good,0,0
619.940002441406,5.3899998664856,115,5,1918,0,0,1,Neuh-Nymp,good,0,1
426.730010986328,10.9399995803833,39,1,1957,1,1,1,Au-Haid,normal,0,1
294.820007324219,4.09000015258789,72,3,1918,0,1,0,Au-Haid,good,0,0
304.230010986328,5.25,58,2,1918,1,0,0,Au-Haid,good,0,1
587.989990234375,11.7600002288818,50,2,2000,0,1,1,Schwanth,normal,0,1
308.989990234375,4.48000001907349,69,4,1924,0,1,1,Schwanth,normal,0,1
516.5,8.32999992370605,62,2,1918,0,1,1,Schwanth,normal,0,1
998.830017089844,12.1800003051758,82,3,1993,1,1,1,Trud-Rie,good,1,1
951.369995117188,10.1199998855591,94,2,1988,1,1,1,Trud-Rie,good,0,1
679.380004882813,7.71999979019165,88,4,1968,0,1,1,Ram-Per,normal,0,1
505.670013427734,6.92999982833862,73,4,1966,0,0,1,Ram-Per,normal,0,1
292.609985351563,7.69999980926514,38,1,1969,0,1,1,Ram-Per,normal,0,1
536.869995117188,8.26000022888184,65,2,1969,0,0,1,Ram-Per,normal,0,1
613.549987792969,8.06999969482422,76,2,1972,0,0,1,Ram-Per,normal,0,1
546.5,7.01000022888184,78,4,1960,0,1,1,BamLaim,normal,0,1
246.479995727539,4.03999996185303,61,3,1924,0,1,0,BamLaim,normal,0,1
588,11.5299997329712,51,2,1924,0,1,1,Maxvor,good,0,1
756.340026855469,8.5,89,4,1918,0,1,1,Obgies,normal,0,1
149.619995117188,2.49000000953674,60,3,1957,0,0,0,Obgies,normal,0,0
237.75,4.09999990463257,58,2,1918,0,1,0,Au-Haid,good,0,0
261.190002441406,11.3599996566772,23,1,1968,0,1,1,Obgies,normal,0,1
476.529998779297,6.19000005722046,77,3,1968,0,0,1,Ram-Per,normal,0,1
379.859985351563,5.34999990463257,71,3,1970,0,1,1,All-Umenz,normal,0,1
181.979995727539,3.86999988555908,47,2,1960,0,0,0,Moos,normal,0,0
907.530029296875,9.35999965667725,97,4,1966,0,1,1,Moos,normal,0,1
767.940002441406,7.30999994277954,105,4,1970,0,1,1,Moos,normal,0,1
740.710021972656,10.5799999237061,70,3,1967,0,1,1,Feld-Has,normal,1,1
678.929992675781,7.63000011444092,89,4,1972,0,0,1,All-Umenz,normal,0,1
705.289978027344,6.40999984741211,110,4,1918,0,1,1,Neuh-Nymp,good,0,1
458.920013427734,9.18000030517578,50,2,1960,1,0,1,Neuh-Nymp,good,0,1
560.760009765625,6.76000022888184,83,2,1918,0,1,1,Neuh-Nymp,good,0,1
559.869995117188,10.3699998855591,54,2,1993,0,1,1,Bogenh,normal,0,1
690,8.96000003814697,77,2,1983,0,1,1,SchwWest,good,0,1
920.340026855469,9.48999977111816,97,4,1966,0,0,1,SchwWest,good,0,1
469.079986572266,7.1100001335144,66,3,1966,0,0,1,Had,normal,0,1
324.670013427734,7.92000007629395,41,2,1969,0,1,1,Had,normal,0,1
685.039978027344,7.86999988555908,87,3,1966,0,0,1,SchwWest,good,0,1
410.739990234375,4.67000007629395,88,4,1924,0,0,0,Laim,normal,0,0
608.429992675781,10.3100004196167,59,2,1992,0,1,1,Ram-Per,normal,0,1
383.480010986328,9.59000015258789,40,1,1984,0,1,1,Ram-Per,normal,0,1
505.230010986328,6.55999994277954,77,4,1974,0,1,1,Ram-Per,normal,0,1
586.109985351563,7.51000022888184,78,3,1989,0,1,1,Ram-Per,normal,1,1
585.030029296875,8.35999965667725,70,2,1966,0,0,1,Neuh-Nymp,good,0,1
605.780029296875,10.4399995803833,58,2,1918,0,1,1,Neuh-Nymp,normal,0,1
536.739990234375,8.13000011444092,66,3,1960,0,1,1,Neuh-Nymp,normal,0,1
690,11.8999996185303,58,2,1985,0,1,1,Th-Ob-Fo-Fu-So,normal,0,1
423.429992675781,6.23000001907349,68,3,1982,0,1,1,Th-Ob-Fo-Fu-So,good,1,1
352.5,10.3699998855591,34,1,1970,0,1,1,Th-Ob-Fo-Fu-So,normal,0,1
387.959991455078,5.96999979019165,65,2,1966,0,0,1,Th-Ob-Fo-Fu-So,normal,0,1
428.929992675781,9.31999969482422,46,2,1966,0,1,1,Th-Ob-Fo-Fu-So,normal,0,1
277.929992675781,7.94000005722046,35,1,1966,0,1,1,Ram-Per,good,0,1
1150.42004394531,10.460000038147,110,3,1960,0,1,1,Alt-Le,good,1,1
392.980010986328,5.09999990463257,77,3,1970,0,1,1,Mil-AmH,normal,0,1
1038.47998046875,10.8199996948242,96,4,1985,1,1,1,Schwab-Frei,good,1,1
